,AU
1143,Adibelli Fatih
1144,Gunduz Erol
1145,Senel Unal
1146,Boyaci Fatima
1147,Kaba Metin
1148,Yakut Ibrahim
1149,Boylu Sukru
1150,Gurses Mursel
1151,Eser Betul
1152,Guzel Mahmut
1153,Akcay Mustafa
1154,Bulut Sancar
1155,Ozogul Bunyami
1156,Demir Vedat
1157,Karabulut Hayriye
1158,Karabulut Mustafa
1159,Sumer Cetin
1160,Ozsu Savas
1161,Cobanoglu Bulent
1162,Seyrek Kamil
1163,Hokelek Murat
1164,Sevinc Tahir
1165,Okutan Halil
1166,Ozyilmaz Adnan
1167,Aykul Halil
1168,Tigli Asiye
1169,Uz Ebru
1170,Ok Kerem
1171,Sariaydin Muzaffer
1172,Civelek Sevket
1173,Cepni Mursel
1174,Sirikci Akif
1175,Gormus Alparslan
1176,Ulutin Hasan
1177,Bekmez Selahattin
1178,Taspinar Haci
1179,Soy Haci
1180,Ozkaya Erdogan
1181,Kocoglu Kiyasettin
1182,Cetin Eyup
1183,Tekin Sati
1184,Aksoy Abdullah
1185,Orenc Asir
1186,Cakir Omer
1187,Ayduz Davut
